path,evidence_level,purpose,original_sha256,transformation,source_record_name
g7_condition_results.csv,DERIVED_RESULT,All 27 planned conditions including seven technical NC,4ad87c8c291445bdc16443f070ff92494ac884b398031a4e07221710da7981dd,Personal/infrastructure locators removed; scientific values retained,G7_CONDITION_LEVEL_ADJUDICATION.csv
g7_predeclared_pair_results.csv,DERIVED_RESULT,All 21 locked pairs including six NC,25f225bda119d76370a5bcca2d3c72c0e6d38ff10208f7d929e758415763da13,Personal/infrastructure locators removed; scientific values retained,G7_PREDECLARED_PAIR_RESULTS.csv
partitions/O1_partitions.csv,DERIVED_RESULT,Finite classes; not global identification,71e4a03efe13a3f19279927aa6e51b5035223436d569d6737ca90575252639ca,Personal/infrastructure locators removed; scientific values retained,G7_O1_PARTITIONS.csv
partitions/O2_partitions.csv,DERIVED_RESULT,Finite classes; not global identification,2364e5f5cfe024a8769d740ee84e565cd200ed07e62dcc68b5504079fc0e3794,Personal/infrastructure locators removed; scientific values retained,G7_O2_PARTITIONS.csv
partitions/O3_partitions.csv,DERIVED_RESULT,Finite classes; not global identification,092a89452c11c64311add67532e65ad5031ef4c7b5efb7c1f63efbddb3a8bd22,Personal/infrastructure locators removed; scientific values retained,G7_O3_PARTITIONS.csv
return_decoding_affected_records.csv,DERIVED_RESULT,Twenty original/derived full-return pairs,2641b3798b3893df542dfaf0e1433524dd59cb103d28c07c7a1f166158f7aef4,Personal/infrastructure locators removed; scientific values retained,G7_RETURN_DECODING_CORRECTED_DERIVED.csv
return_decoding_correction.md,REDACTED_PROJECTION_OF_RETAINED_RECORD,Analysis-only correction disclosure,b9674be7f2472779567e02197349c2c88cc849d8fc160a3176ab9c449ab1cc9e,Personal/infrastructure locators removed; scientific values retained,G7_RETURN_DECODING_CORRECTION.md
missingness.md,REDACTED_PROJECTION_OF_RETAINED_RECORD,All unavailable conditions and pairs,585de410d15bc46809510cd7ae81e2e0f408d8b3d5fbcc3c34609bd3f9445d22,Personal/infrastructure locators removed; scientific values retained,G7_MISSINGNESS_AND_NONCOMPARABILITY.md
nuisance_controls.md,REDACTED_PROJECTION_OF_RETAINED_RECORD,Same-Y and non-collision controls,e58114d2401ec3a6c278adeb56fa425457c4ebfc5cf1dd0d3bb157836b36da6f,Personal/infrastructure locators removed; scientific values retained,G7_NUISANCE_CONTROL_RESULTS.md
execution_records/VA0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,75171dc86d82fa92c21114be9e67af8fc55a85852b42942bf8dce8c68adaf2be,Personal/infrastructure locators removed; scientific values retained,VA0.json
trace_archive/VA0.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",5dc35693095c7dd8b4b60fd4fdae8c53c67cad4aad63cfc393fabe8e8abc9d52,gzip only; decompressed bytes unchanged,VA0.json
execution_records/VA1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,b355f66114acfabbbab9f273bcc20f66b52638342683c6f7d63a6aab066ad8d5,Personal/infrastructure locators removed; scientific values retained,VA1.json
trace_archive/VA1.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",7dcdb394bddf81b1b787e107b59cafa71459cbe8435be4f3cb8b9602f7adf51c,gzip only; decompressed bytes unchanged,VA1.json
execution_records/VA2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,318a6296e7ca956b6542a8735909bfd62c13f372b9065d2a2e815369eedbef81,Personal/infrastructure locators removed; scientific values retained,VA2.json
trace_archive/VA2.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",b30f5c9e6585e7e727162239c7dfa21b7182c0e063dd6ad53deacb4726fe0a27,gzip only; decompressed bytes unchanged,VA2.json
execution_records/VA3.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,4cf07a6fb2aed252deca611ca839a6ebf35df8cdb458929d6ae049ffc298353c,Personal/infrastructure locators removed; scientific values retained,VA3.json
trace_archive/VA3.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",aeb9234ec6373bd7a453008148d7a4f71866c6b4682f4bd7f9031271edfeac0b,gzip only; decompressed bytes unchanged,VA3.json
execution_records/VA4.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,ce823fe6e5fdd21adadf71be6a96e7feeb58e4e0e007d489d4e33d465fd3b7bd,Personal/infrastructure locators removed; scientific values retained,VA4.json
trace_archive/VA4.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",ab358e0b26744c3f242a75ede68b3f958bb9f2eee6822e51fcd69d0d44bbc958,gzip only; decompressed bytes unchanged,VA4.json
execution_records/VB0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,326f920dfae2c695151ef0fd395ff0c01ec2b7dc2d2f066345c36006b4aafaca,Personal/infrastructure locators removed; scientific values retained,VB0.json
trace_archive/VB0.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",dd94c95e9535d09fc8732d6c9124ee6c939814aca1753f95893c9c0b499bc1d2,gzip only; decompressed bytes unchanged,VB0.json
execution_records/VB1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,05c47f0f3beaa898e3de69bd84dd336fefa016b30119e260e10afd131a48b7b9,Personal/infrastructure locators removed; scientific values retained,VB1.json
trace_archive/VB1.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",065e8206fcaab5f733743889ee4dea6589103bc7d483527c6d19412c2883f2e3,gzip only; decompressed bytes unchanged,VB1.json
execution_records/VB2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,1f329c6080dbbaa0fc97fc92620b978915145ecfb70e1bfda6b079c0d78e89ff,Personal/infrastructure locators removed; scientific values retained,VB2.json
trace_archive/VB2.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",9d5249b21b39b5ebeeb83dc9ab4b2f44045ddc0462418623b21c74fb574a8de1,gzip only; decompressed bytes unchanged,VB2.json
execution_records/AA0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,b85546d18e47e31e13f4c4880d1ec0e2ddb26fe944a02aa92f21afd860980e4b,Personal/infrastructure locators removed; scientific values retained,AA0.json
trace_archive/AA0.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,gzip only; decompressed bytes unchanged,AA0.json
execution_records/AA1.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,bc2a0b0da0888e95394371f3270c75220841c7ce881e7ea5a282e6ae3f0e54c4,Personal/infrastructure locators removed; scientific values retained,AA1.json
trace_archive/AA1.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,gzip only; decompressed bytes unchanged,AA1.json
execution_records/AA2.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,f6fa65e936c90fafed6f7647e28a2d47d3a7cbb3f58214b304552c5f07afa079,Personal/infrastructure locators removed; scientific values retained,AA2.json
trace_archive/AA2.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",b5188d24bfa5aaa9695a77dd596ba3b3c307a248d2a6571f9a648c0824f89dce,gzip only; decompressed bytes unchanged,AA2.json
execution_records/AA3.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,fecfc00ac596f7415ca3b942ed74dda7ef05415985800425dfda1825de4ade73,Personal/infrastructure locators removed; scientific values retained,AA3.json
trace_archive/AA3.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",b5188d24bfa5aaa9695a77dd596ba3b3c307a248d2a6571f9a648c0824f89dce,gzip only; decompressed bytes unchanged,AA3.json
execution_records/AA4.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,e38597523e0bdb2c6bdfc0aa41febb5a63810760293c94d8824a460591abf4fb,Personal/infrastructure locators removed; scientific values retained,AA4.json
trace_archive/AA4.json.gz,DIRECT_OBSERVATION,"Original trace bytes, gzip lossless; decompress for original hash",31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,gzip only; decompressed bytes unchanged,AA4.json
execution_records/AB0.json,REDACTED_PROJECTION_OF_RETAINED_RECORD,Retained execution record; original erroneous return preserved,8b8bf1abc437c4b7dd07b13168a3ce84e5326766df37c1e42788f9cbed700270,Personal/infrastructure locators removed; scientific values retained,AB0.json
