case_id,implementation,episode,primary_entrypoint,valid_execution,adjudication,Y,witness_basis,evidence_label,source_deployed
VA0,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VA1,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VA2,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VA3,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""PRICE_CALL_FAILED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_UNCHANGED""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VA4,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VB0,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VB1,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
VB2,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,fetchPrice(gOHM),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""}","Bound schedule/source, cache/status pre/post, ordered target update events and retained trace; numeric equality is not used to label provenance.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
AA0,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}","Public source boolean, raw reporter/aggregate records and setup-prefix MainFeedFail/MainFeedSync receipts; updates attributed to prefix, not pure primary read.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
AA1,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),True,COMPATIBLE_AFTER_DERIVED_RETURN_DECODING,"{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""MAIN_AGGREGATE"",""transition"":""PERSISTED_STATE_UNCHANGED""}","Public source boolean, raw reporter/aggregate records and setup-prefix MainFeedFail/MainFeedSync receipts; updates attributed to prefix, not pure primary read.",DERIVED_RESULT_SUPPORTED_BY_FROZEN_EXECUTION,[archival locator withheld]
