pair_id,implementation,execution_A,execution_B,role,Y_difference,O1_A,O1_B,critical_O2_fields,O2_A,O2_B,O2_JSON_pointers,supported_interpretation,caveat,record_A,record_B
PV01,VESTA,VA1,VA2,INFORMATIVE_O1_COLLISION,input_acceptance: BOTH_LEGS_ACCEPTED -> PRICE_REJECTED_INDEX_ACCEPTED; return_source: CURRENT_PRICE_X_CURRENT_INDEX -> CACHED_PRICE_X_CURRENT_INDEX; transition: WORKING_REFRESH -> WORKING_TO_UNTRUSTED,"[""1000000000000000000""]","[""1000000000000000000""]",status before; status after,"{""status before"":""0"",""status after"":""0""}","{""status before"":""0"",""status after"":""1""}",/O2/pre/status/0;/O2/post/status/0,Accepted price leg versus age-rejected leg; working refresh versus entry to untrusted,"State transition supports this fixed age contrast, not a complete cause classifier.",execution_records/VA1.json,execution_records/VA2.json
PV02,VESTA,VA0,VA2,INFORMATIVE_O1_COLLISION,input_acceptance: BOTH_LEGS_ACCEPTED -> PRICE_REJECTED_INDEX_ACCEPTED; return_source: CURRENT_PRICE_X_CURRENT_INDEX -> CACHED_PRICE_X_CURRENT_INDEX; transition: WORKING_REFRESH -> WORKING_TO_UNTRUSTED,"[""1000000000000000000""]","[""1000000000000000000""]",lastGoodPrice before; lastGoodPrice after; status before; status after,"{""lastGoodPrice before"":""32100000000000000000"",""lastGoodPrice after"":""1000000000000000000"",""status before"":""0"",""status after"":""0""}","{""lastGoodPrice before"":""1000000000000000000"",""lastGoodPrice after"":""1000000000000000000"",""status before"":""0"",""status after"":""1""}",/O2/pre/lastGoodPrice/0;/O2/post/lastGoodPrice/0;/O2/pre/status/0;/O2/post/status/0,Current product versus cached-price/current-index product,History/cache establishment differs; no isolated-field causal identification.,execution_records/VA0.json,execution_records/VA2.json
PV03,VESTA,VA2,VA3,INFORMATIVE_O1_COLLISION,input_acceptance: PRICE_REJECTED_INDEX_ACCEPTED -> PRICE_CALL_FAILED_INDEX_ACCEPTED; transition: WORKING_TO_UNTRUSTED -> UNTRUSTED_UNCHANGED,"[""1000000000000000000""]","[""1000000000000000000""]",status before; status after,"{""status before"":""0"",""status after"":""1""}","{""status before"":""1"",""status after"":""1""}",/O2/pre/status/0;/O2/post/status/0,Age rejection versus call failure under different prior status,"This pair is distinguishable under the collected O2 tuple, but the evidence does not establish that one public field alone uniquely identifies the failure cause.",execution_records/VA2.json,execution_records/VA3.json
PV04,VESTA,VA2,VA4,INFORMATIVE_O1_COLLISION,input_acceptance: PRICE_REJECTED_INDEX_ACCEPTED -> BOTH_LEGS_ACCEPTED; return_source: CACHED_PRICE_X_CURRENT_INDEX -> CURRENT_PRICE_X_CURRENT_INDEX; transition: WORKING_TO_UNTRUSTED -> UNTRUSTED_TO_WORKING,"[""1000000000000000000""]","[""1000000000000000000""]",status before; status after,"{""status before"":""0"",""status after"":""1""}","{""status before"":""1"",""status after"":""0""}",/O2/pre/status/0;/O2/post/status/0,Entry to untrusted versus restoration to working/current,Different transition histories; no complete recovery-state-space claim.,execution_records/VA2.json,execution_records/VA4.json
PV05,VESTA,VB1,VB2,NON_COLLISION_CONTROL,input_acceptance: PRICE_REJECTED_INDEX_ACCEPTED -> BOTH_LEGS_ACCEPTED; return_source: CACHED_PRICE_X_CURRENT_INDEX -> CURRENT_PRICE_X_CURRENT_INDEX; transition: WORKING_TO_UNTRUSTED -> UNTRUSTED_TO_WORKING,"[""1200000000000000000""]","[""1000000000000000000""]",lastGoodPrice after; status after,"{""lastGoodPrice after"":""1200000000000000000"",""status after"":""1""}","{""lastGoodPrice after"":""1000000000000000000"",""status after"":""0""}",/O2/post/lastGoodPrice/0;/O2/post/status/0,Non-collision: cached return versus restored current return,Different-Y non-collision control; not an O2 rescue.,execution_records/VB1.json,execution_records/VB2.json
PV06,VESTA,VA2,VB1,SAME_Y_CONTROL,Same frozen Y enumeration,"[""1000000000000000000""]","[""1200000000000000000""]",lastGoodPrice before; lastGoodPrice after,"{""lastGoodPrice before"":""1000000000000000000"",""lastGoodPrice after"":""1000000000000000000""}","{""lastGoodPrice before"":""1200000000000000000"",""lastGoodPrice after"":""1200000000000000000""}",/O2/pre/lastGoodPrice/0;/O2/post/lastGoodPrice/0,"Same Y enumeration, different legal cache histories",Observation inequality does not imply a different Y label.,execution_records/VA2.json,execution_records/VB1.json
PA01,AURIGAMI,AA1,AA2,INFORMATIVE_O1_COLLISION,return_source: MAIN_AGGREGATE -> BACKUP_FEED,"[""1000000000000000000000000000000""]","[""1000000000000000000000000000000""]",_getRawUnderlyingPrice(...).isFromMainFeed,"{""_getRawUnderlyingPrice(...).isFromMainFeed"":true}","{""_getRawUnderlyingPrice(...).isFromMainFeed"":false}",/O2/post/rawUnderlying/2,Main versus backup selection,"isFromMainFeed is a named return field of _getRawUnderlyingPrice, not an invented standalone getter.",execution_records/AA1.json,execution_records/AA2.json
PA02,AURIGAMI,AA0,AA2,INFORMATIVE_O1_COLLISION,input_acceptance: TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED -> NO_REPORT_INPUT_AT_READ; return_source: MAIN_AGGREGATE -> BACKUP_FEED; transition: MAIN_REFRESHED -> PERSISTED_STATE_UNCHANGED,"[""1000000000000000000000000000000""]","[""1000000000000000000000000000000""]",_getRawUnderlyingPrice(...).isFromMainFeed,"{""_getRawUnderlyingPrice(...).isFromMainFeed"":true}","{""_getRawUnderlyingPrice(...).isFromMainFeed"":false}",/O2/post/rawUnderlying/2,Main aggregate after updates versus backup at read,Prefix histories differ; source flag supports the selection contrast.,execution_records/AA0.json,execution_records/AA2.json
PA03,AURIGAMI,AA2,AA3,INFORMATIVE_O1_COLLISION,input_acceptance: NO_REPORT_INPUT_AT_READ -> ONE_REPORT_ACCEPTED_AGGREGATE_NOT_REFRESHED; transition: PERSISTED_STATE_UNCHANGED -> RAW_ONLY_UPDATED,"[""1000000000000000000000000000000""]","[""1000000000000000000000000000000""]","mainFeedRaw(reporter1,...).timestamp; mainFeed(...).timestamp; _getRawUnderlyingPrice(...).isFromMainFeed","{""mainFeedRaw(reporter1,...).timestamp"":""1789368672"",""mainFeed(...).timestamp"":""1789368672"",""_getRawUnderlyingPrice(...).isFromMainFeed"":false}","{""mainFeedRaw(reporter1,...).timestamp"":""1789375874"",""mainFeed(...).timestamp"":""1789368672"",""_getRawUnderlyingPrice(...).isFromMainFeed"":false}",/O2/post/raw1/1;/O2/post/main/2;/O2/post/rawUnderlying/2,"One raw reporter update accepted, aggregate and backup selection unchanged","Changed raw record belongs to legal setup prefix, not the subsequent pure read.",execution_records/AA2.json,execution_records/AA3.json
PA04,AURIGAMI,AA3,AA4,INFORMATIVE_O1_COLLISION,input_acceptance: ONE_REPORT_ACCEPTED_AGGREGATE_NOT_REFRESHED -> TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED; return_source: BACKUP_FEED -> MAIN_AGGREGATE; transition: RAW_ONLY_UPDATED -> MAIN_REFRESHED,"[""1000000000000000000000000000000""]","[""1000000000000000000000000000000""]","mainFeedRaw(reporter2,...).timestamp; mainFeed(...).timestamp; _getRawUnderlyingPrice(...).isFromMainFeed","{""mainFeedRaw(reporter2,...).timestamp"":""1789368673"",""mainFeed(...).timestamp"":""1789368672"",""_getRawUnderlyingPrice(...).isFromMainFeed"":false}","{""mainFeedRaw(reporter2,...).timestamp"":""1789375875"",""mainFeed(...).timestamp"":""1789375874"",""_getRawUnderlyingPrice(...).isFromMainFeed"":true}",/O2/post/raw2/1;/O2/post/main/2;/O2/post/rawUnderlying/2,"Second qualifying update, aggregate refresh, main selection",Updates and prefix events precede the pure primary read.,execution_records/AA3.json,execution_records/AA4.json
PA05,AURIGAMI,AB0,AB1,NON_COLLISION_CONTROL,input_acceptance: TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED -> NO_REPORT_INPUT_AT_READ; return_source: MAIN_AGGREGATE -> BACKUP_FEED; transition: MAIN_REFRESHED -> PERSISTED_STATE_UNCHANGED,"[""1200000000000000000000000000000""]","[""1000000000000000000000000000000""]",_getRawUnderlyingPrice(...).isFromMainFeed; mainFeed(...).price,"{""_getRawUnderlyingPrice(...).isFromMainFeed"":true,""mainFeed(...).price"":""120000000""}","{""_getRawUnderlyingPrice(...).isFromMainFeed"":false,""mainFeed(...).price"":""120000000""}",/O2/post/rawUnderlying/2;/O2/post/main/0,Non-collision: higher-valued main versus backup,Different-Y non-collision control; no O2 recovery metric.,execution_records/AB0.json,execution_records/AB1.json
PA06,AURIGAMI,AB1,AB2,INFORMATIVE_O1_COLLISION,input_acceptance: NO_REPORT_INPUT_AT_READ -> TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED; return_source: BACKUP_FEED -> MAIN_AGGREGATE; transition: PERSISTED_STATE_UNCHANGED -> MAIN_REFRESHED,"[""1000000000000000000000000000000""]","[""1000000000000000000000000000000""]",_getRawUnderlyingPrice(...).isFromMainFeed; mainFeed(...).price,"{""_getRawUnderlyingPrice(...).isFromMainFeed"":false,""mainFeed(...).price"":""120000000""}","{""_getRawUnderlyingPrice(...).isFromMainFeed"":true,""mainFeed(...).price"":""100000000""}",/O2/post/rawUnderlying/2;/O2/post/main/0,"Backup versus refreshed main, equal returned value",Main refresh is established by prefix calls; pure read does not mutate state.,execution_records/AB1.json,execution_records/AB2.json
PA07,AURIGAMI,AA2,AB1,SAME_Y_CONTROL,Same frozen Y enumeration,"[""1000000000000000000000000000000""]","[""1000000000000000000000000000000""]","mainFeedRaw(reporter1,...).price; mainFeed(...).price; _getRawUnderlyingPrice(...).isFromMainFeed","{""mainFeedRaw(reporter1,...).price"":""100000000"",""mainFeed(...).price"":""100000000"",""_getRawUnderlyingPrice(...).isFromMainFeed"":false}","{""mainFeedRaw(reporter1,...).price"":""120000000"",""mainFeed(...).price"":""120000000"",""_getRawUnderlyingPrice(...).isFromMainFeed"":false}",/O2/post/raw1/0;/O2/post/main/0;/O2/post/rawUnderlying/2,"Same Y and equal backup return, different retained main/raw values",Public tuple distinction does not identify a different Y category.,execution_records/AA2.json,execution_records/AB1.json
PF06,FATHOM,FC0,FC1,INFORMATIVE_O1_COLLISION,input_acceptance: REFRESH_NOT_ELIGIBLE -> SOURCE_RETRIEVAL_ACCEPTED; transition: UNCHANGED_NOT_ELIGIBLE -> PROMOTE_EQUAL_VALUE,"[""27936237197953895"",true]","[""27936237197953895"",true]",delayedPrice.timestamp; latestPrice.timestamp; lastUpdateTS,"{""delayedPrice.timestamp"":""1789370640"",""latestPrice.timestamp"":""1789372440"",""lastUpdateTS"":""1789372440""}","{""delayedPrice.timestamp"":""1789372440"",""latestPrice.timestamp"":""1789373340"",""lastUpdateTS"":""1789373340""}",/O2/post/delayedPrice/1;/O2/post/latestPrice/1;/O2/post/lastUpdateTS/0,No promotion versus delayed/latest temporal progression with equal full tuple,899/900-second boundary only; no complete recovery/failure sequence.,execution_records/FC0.json,execution_records/FC1.json
PF07,FATHOM,FC2,FC3,INFORMATIVE_O1_COLLISION,input_acceptance: SOURCE_NOT_EVALUATED_RETAINED_VALID -> SOURCE_NOT_EVALUATED_RETAINED_STALE,"[""27936237197953895""]","[""27936237197953895""]",isPriceFresh(); isPriceOk(),"{""isPriceFresh()"":true,""isPriceOk()"":true}","{""isPriceFresh()"":false,""isPriceOk()"":false}",/O2/post/isPriceFresh/0;/O2/post/isPriceOk/0,"Retained record valid versus stale, same price",3600/3601-second validity boundary; separate pure entrypoint; no caught-error conclusion.,execution_records/FC2.json,execution_records/FC3.json
