implementation,layer,class_id,members,member_count,Y_labels,Y_label_count,observation_tuple_sha256,interpretation
VESTA,O2,V_O2_1,VA0,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}]",1,61d2c338d18f506703fcf9238b48dd924dd69c16f0d7f42549d2f4916fd408a7,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_2,VA1,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}]",1,67bc34f6c73008f6d34db3e8b3b0f4fc750f7faa5afa5a55e9f1a677b902242e,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_3,VA2,1,"[{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}]",1,91d3ec80058afbe628f247e364bf8a0ff5a46e1448fca04852e61cc0ecc3b0b3,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_4,VA3,1,"[{""input_acceptance"":""PRICE_CALL_FAILED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_UNCHANGED""}]",1,72f111a237b45fdf361e56a9954e46207052e7f86b442e30eca345e79bb58851,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_5,VA4,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""}]",1,a345623c1cf851e37c8d818061df6dae0c84a12fe2b0dcce5818d7b58fdbc5e3,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_6,VB0,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""}]",1,8cfd2b1efe9c538a2b80126ff8891cf655036c87d1515c0bd57cbf2f50082649,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_7,VB1,1,"[{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}]",1,1697825b6fed0b4c89912cdc2f2dbcae0b41bbfc82db4e7cec92bd48cdd44b5b,Finite-matrix class only; singleton is not global semantic identification
VESTA,O2,V_O2_8,VB2,1,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""}]",1,8b3356e9b4442f876515d6f0792519d76618292735d79695b0381021a6a20905,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_1,AA0,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,a58bc698e0f5fc08ddacacf312362c6ac23b1ac7828f3b6abc92f09fedbbc065,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_2,AA1,1,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""MAIN_AGGREGATE"",""transition"":""PERSISTED_STATE_UNCHANGED""}]",1,0d8bb90914853aa46abb942e36b244dfd6f8a4b0331d0486bf6b2ff39d8b8a58,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_3,AA2,1,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""BACKUP_FEED"",""transition"":""PERSISTED_STATE_UNCHANGED""}]",1,9482082ee9792287b86cb105f4b635f553957c55ec7e1a6bb15d5add8beb692b,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_4,AA3,1,"[{""input_acceptance"":""ONE_REPORT_ACCEPTED_AGGREGATE_NOT_REFRESHED"",""return_source"":""BACKUP_FEED"",""transition"":""RAW_ONLY_UPDATED""}]",1,e7de187eb4b2733d91f51f9cfefb16b0803c013778ed66fdcde8582e5d94eb3b,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_5,AA4,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,fbe9cfbcfd09d8853fff66a356e150da3bbcd92b2178f73841651c3e2a224cda,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_6,AB0,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,2a38056486a62c6bee3bdafed1156c0c979634d5f9b21b93332bcfb05674d6ea,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_7,AB1,1,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""BACKUP_FEED"",""transition"":""PERSISTED_STATE_UNCHANGED""}]",1,cecc13d8ebad7fab32f384e8b7b09e5d738d56c0f2b04ef0355e60065b56dbb9,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O2,A_O2_8,AB2,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,63d46319ee57d366197818851571726c7a38cf1fb8ded276bca64272f44d3cee,Finite-matrix class only; singleton is not global semantic identification
