execution_id,path,transport,F_current,D_action_original,R_allowed,comparison_original,D_action_derived,comparison_derived,paper_usable,post_execution_review,execution_artifact,raw_trace_locator
SF00,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT,RETURN_CURRENT_PRODUCT,COMPATIBLE,RETURN_CURRENT_PRODUCT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF01,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT,RETURN_CURRENT_PRODUCT,COMPATIBLE,RETURN_CURRENT_PRODUCT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF02,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT,RETURN_CURRENT_PRODUCT,COMPATIBLE,RETURN_CURRENT_PRODUCT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF03,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,false,REVERT_STALE_PRICE_FEED,REVERT_STALE_PRICE_FEED,COMPATIBLE,REVERT_STALE_PRICE_FEED,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF04,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT,RETURN_CURRENT_PRODUCT,COMPATIBLE,RETURN_CURRENT_PRODUCT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF05,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT,RETURN_CURRENT_PRODUCT,COMPATIBLE,RETURN_CURRENT_PRODUCT,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF06,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,false,REVERT_STALE_PRICE_FEED,REVERT_STALE_PRICE_FEED,COMPATIBLE,REVERT_STALE_PRICE_FEED,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
SF07,SECURED_FINANCE_WBTC_PRODUCT,PRIMARY_EXECUTION,false,REVERT_STALE_PRICE_FEED,REVERT_STALE_PRICE_FEED,COMPATIBLE,REVERT_STALE_PRICE_FEED,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE00,NERITE_DUAL_FEED_MULTIPLICATIVE,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT_FLAG_FALSE,RETURN_CURRENT_PRODUCT_FLAG_FALSE,COMPATIBLE,RETURN_CURRENT_PRODUCT_FLAG_FALSE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE01,NERITE_DUAL_FEED_MULTIPLICATIVE,PRIMARY_EXECUTION,true,RETURN_CURRENT_PRODUCT_FLAG_FALSE,RETURN_CURRENT_PRODUCT_FLAG_FALSE,COMPATIBLE,RETURN_CURRENT_PRODUCT_FLAG_FALSE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE02,NERITE_DUAL_FEED_MULTIPLICATIVE,PRIMARY_EXECUTION,false,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
NE03,NERITE_DUAL_FEED_MULTIPLICATIVE,PRIMARY_EXECUTION,false,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,RETURN_LAST_GOOD_PRICE_FLAG_TRUE,COMPATIBLE,true,NONE,[archival locator withheld],[archival locator withheld]
