case_id,implementation,episode,primary_entrypoint,original_raw_return,original_decode_error,frozen_trace_return,abi,corrected_full_O1_tuple,corrected_price_component,correction,trace_path,trace_sha256,matching_raw_rpc_paths
VA0,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),0x0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,"""NA""",0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,(uint256),"[""1000000000000000000""]",1000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],5dc35693095c7dd8b4b60fd4fdae8c53c67cad4aad63cfc393fabe8e8abc9d52,"[""[archival locator withheld]""]"
VA1,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),0x0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,"""NA""",0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,(uint256),"[""1000000000000000000""]",1000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],7dcdb394bddf81b1b787e107b59cafa71459cbe8435be4f3cb8b9602f7adf51c,"[""[archival locator withheld]""]"
VA2,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),0x0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,"""NA""",0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,(uint256),"[""1000000000000000000""]",1000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],b30f5c9e6585e7e727162239c7dfa21b7182c0e063dd6ad53deacb4726fe0a27,"[""[archival locator withheld]""]"
VA3,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),0x0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,"""NA""",0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,(uint256),"[""1000000000000000000""]",1000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],aeb9234ec6373bd7a453008148d7a4f71866c6b4682f4bd7f9031271edfeac0b,"[""[archival locator withheld]""]"
VA4,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_A,fetchPrice(gOHM),0x0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,"""NA""",0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,(uint256),"[""1000000000000000000""]",1000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],ab358e0b26744c3f242a75ede68b3f958bb9f2eee6822e51fcd69d0d44bbc958,"[""[archival locator withheld]""]"
VB0,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,fetchPrice(gOHM),0x0x00000000000000000000000000000000000000000000000010a741a462780000,"""NA""",0x00000000000000000000000000000000000000000000000010a741a462780000,(uint256),"[""1200000000000000000""]",1200000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],dd94c95e9535d09fc8732d6c9124ee6c939814aca1753f95893c9c0b499bc1d2,"[""[archival locator withheld]""]"
VB1,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,fetchPrice(gOHM),0x0x00000000000000000000000000000000000000000000000010a741a462780000,"""NA""",0x00000000000000000000000000000000000000000000000010a741a462780000,(uint256),"[""1200000000000000000""]",1200000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],065e8206fcaab5f733743889ee4dea6589103bc7d483527c6d19412c2883f2e3,"[""[archival locator withheld]""]"
VB2,VESTA_GOHM_DUAL_CHAINLINK_PRODUCT_CACHE,V_B,fetchPrice(gOHM),0x0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,"""NA""",0x0000000000000000000000000000000000000000000000000de0b6b3a7640000,(uint256),"[""1000000000000000000""]",1000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],9d5249b21b39b5ebeeb83dc9ab4b2f44045ddc0462418623b21c74fb574a8de1,"[""[archival locator withheld]""]"
AA0,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,"[""[archival locator withheld]"",""[archival locator withheld]"",""[archival locator withheld]"",""[archival locator withheld]""]"
AA1,AURIGAMI_REPORTER_AGGREGATION_FALLBACK,A_A,getUnderlyingPrice(auUSDC),0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,"{""decode_error"":""TypeError: invalid BytesLike value (argument=\""value\"", value=\""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000\"", code=INVALID_ARGUMENT, version=6.15.0)"",""raw"":""0x0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000""}",0x000000000000000000000000000000000000000c9f2c9cd04674edea40000000,(uint256),"[""1000000000000000000000000000000""]",1000000000000000000000000000000,DERIVED_ANALYSIS_CORRECTION_DUPLICATE_HEX_PREFIX,[archival locator withheld],31fe95b7571235537f16afd9f6b2696ccdb5c076ce6aabc1810636aefe29aa2d,"[""[archival locator withheld]"",""[archival locator withheld]"",""[archival locator withheld]"",""[archival locator withheld]""]"
